id,outcome,width,height,obstacle_percentage,conglomeration_ratio,max_length_agents,num_agents,max_length,metric,time_limit,num_expanded_states,inserted_states,path_length,path_cost,num_waits,grid_time,istance_time,execution_time,memory_used
0,overlap,4,4,0.2,0.4,3,1,10,0,1,0,0,0,0.0,0,0.0,0.0,0.0,46.09
0,success,4,4,0.2,0.4,3,1,10,0,1,4,14,3,3.828,0,0.0,0.0,0.0,46.1
1,success,4,4,0.2,0.4,3,1,10,0,10,4,12,3,3.828,0,0.0,0.0,0.0,46.11
2,success,4,4,0.2,0.4,3,1,10,1,1,4,14,3,3.828,0,0.0,0.0,0.0,46.11
3,success,4,4,0.2,0.4,3,1,10,1,10,7,21,4,4.414,0,0.0,0.0,0.0,46.11
4,success,4,4,0.2,0.4,3,1,100,0,1,5,13,4,4.414,0,0.0,0.0,0.0,46.11
5,success,4,4,0.2,0.4,3,1,100,0,10,4,14,3,3.828,0,0.0,0.0,0.0,46.11
6,success,4,4,0.2,0.4,3,1,100,1,1,4,14,3,3.828,0,0.0,0.0,0.0,46.11
7,success,4,4,0.2,0.4,3,1,100,1,10,4,14,3,3.828,0,0.0,0.0,0.0,46.11
8,success,4,4,0.2,0.4,3,1,1000,0,1,5,12,4,4.414,0,0.0,0.0,0.0,46.11
9,success,4,4,0.2,0.4,3,1,1000,0,10,5,12,4,4.414,0,0.0,0.0,0.0,46.11
10,success,4,4,0.2,0.4,3,1,1000,1,1,6,15,4,4.414,0,0.0,0.0,0.0,46.11
11,overlap,4,4,0.2,0.4,3,1,1000,1,10,0,0,0,0.0,0,0.0,0.0,0.0,46.11
11,success,4,4,0.2,0.4,3,1,1000,1,10,6,15,4,4.414,0,0.0,0.0,0.0,46.11
12,success,4,4,0.2,0.4,3,3,10,0,1,7,17,4,5.243,0,0.0,0.0,0.0,46.11
13,success,4,4,0.2,0.4,3,3,10,0,10,4,11,3,3.828,0,0.0,0.0,0.0,46.11
14,success,4,4,0.2,0.4,3,3,10,1,1,6,15,4,4.414,0,0.0,0.0,0.0,46.11
15,success,4,4,0.2,0.4,3,3,10,1,10,6,12,4,4.414,0,0.0,0.0,0.0,46.11
16,overlap,4,4,0.2,0.4,3,3,100,0,1,0,0,0,0.0,0,0.0,0.0,0.0,46.11
16,success,4,4,0.2,0.4,3,3,100,0,1,4,13,3,3.828,0,0.0,0.0,0.0,46.11
17,success,4,4,0.2,0.4,3,3,100,0,10,4,11,3,3.828,0,0.0,0.0,0.0,46.11
18,success,4,4,0.2,0.4,3,3,100,1,1,4,12,3,3.828,0,0.0,0.0,0.0,46.11
19,success,4,4,0.2,0.4,3,3,100,1,10,6,14,4,4.414,0,0.0,0.0,0.0,46.11
20,overlap,4,4,0.2,0.4,3,3,1000,0,1,0,0,0,0.0,0,0.0,0.0,0.0,46.11
20,success,4,4,0.2,0.4,3,3,1000,0,1,4,13,3,3.828,0,0.0,0.0,0.0,46.11
21,overlap,4,4,0.2,0.4,3,3,1000,0,10,0,0,0,0.0,0,0.0,0.0,0.0,46.11
21,success,4,4,0.2,0.4,3,3,1000,0,10,4,11,3,3.828,0,0.0,0.0,0.0,46.11
22,overlap,4,4,0.2,0.4,3,3,1000,1,1,0,0,0,0.0,0,0.0,0.0,0.0,46.11
22,success,4,4,0.2,0.4,3,3,1000,1,1,4,11,3,3.828,0,0.0,0.0,0.0,46.11
23,overlap,4,4,0.2,0.4,3,3,1000,1,10,0,0,0,0.0,0,0.0,0.0,0.0,46.11
23,success,4,4,0.2,0.4,3,3,1000,1,10,7,18,4,4.414,0,0.0,0.0,0.0,46.11
24,timeout,4,4,0.2,0.4,3,10,10,0,1,0,0,0,0,0,0,0,0,46.17
